variant	ticker	ymd	aligned_prev	atr14_pct	open_dev_pct	buys	sells	buy_notional	sell_notional	gross_pnl	net_pnl	max_deployed	ret_pct	r	mae_pct	exits
e8_delay3	003280	20260406	True	20.4521	24.7408	3	3	5105900.0000	4961335.0000	-144565.0000	-160039.1057	1704717.3465	-9.3880	-1.5647	-3.0377	"{""stop"": 3}"
e9_nostop	003280	20260406	True	20.4521	24.7408	2	2	3408055.0000	3289080.0000	-118975.0000	-129248.4817	1705587.9120	-7.5779	-1.2630	-11.4387	"{""tp"": 1, ""eod"": 1}"
e0_base_stop2.5	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e1_atr0.3	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e2_atr0.5	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e3_atr1.5	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e4_atr2.0	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e5_atr2.5	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e6_delay1	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e7_delay2	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e8_delay3	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e9_nostop	079550	20260406	False	9.2233	17.5252	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	{}
e0_base_stop2.5	322000	20260406	True	15.5688	44.1303	2	2	3204900.0000	3260700.0000	55800.0000	45728.1000	1627357.0950	2.8100	0.4683	-2.4350	"{""tp"": 1, ""zone_exit"": 1}"
e1_atr0.3	322000	20260406	True	15.5688	44.1303	2	2	3204900.0000	3260700.0000	55800.0000	45728.1000	1627357.0950	2.8100	0.4683	-2.4350	"{""tp"": 1, ""zone_exit"": 1}"
e2_atr0.5	322000	20260406	True	15.5688	44.1303	2	2	3204900.0000	3260700.0000	55800.0000	45728.1000	1627357.0950	2.8100	0.4683	-2.4350	"{""tp"": 1, ""zone_exit"": 1}"
