variant	atr_max	dev_lo	dev_hi	days	buys	gross_pct	net_pct	net_per_buy	months_pos	months
stop1.5	4	0	99	739	992	0.00855855791031407	-0.22145984298919313	-4678.67464122984	2	12
take0.8	99	-8	2	1064	2571	0.008460619843965156	-0.2215575704961837	-4605.6995793465585	2	13
l0_live	99	0	5	1630	2645	0.00842450339643192	-0.22159360928405408	-4612.443917693762	1	13
l0_live	5	-3	99	1303	1898	0.008366740576140836	-0.22165124791609786	-4636.816531981032	2	13
stop1.5	99	-1	5	1786	2908	0.008133706264829602	-0.2218837812011595	-4614.529641506189	1	13
stop1.5	5	-99	2	474	734	0.007614825577957355	-0.22240154629703524	-4637.210347411444	2	13
l0_live	5	-1	5	931	1337	0.007370917129777525	-0.2226449303420515	-4663.586798354525	3	13
l0_live	5	-99	5	1007	1478	0.006680574994223465	-0.2233337882420141	-4664.502833829499	2	13
stop1.5	4	-1	99	782	1058	0.006239512635427695	-0.22377390231673847	-4728.963759073724	2	12
stop1.5	99	0	2	564	957	0.006157867467421888	-0.22385537194262475	-4670.548727586207	2	13
stop1.5	99	-3	99	2946	4893	0.005300462205028813	-0.2247109337882211	-4677.519346862866	0	13
take0.8	99	-99	2	1098	2668	0.004835666316410938	-0.22517473037248206	-4679.3513379685155	1	13
take0.8	99	-3	2	909	2098	0.004717543471499544	-0.2252925992538379	-4686.722306673022	2	13
l0_live	99	0	2	564	967	0.00468394710579905	-0.22532612337552266	-4701.855006514996	3	13
l0_live	5	-8	2	472	735	0.004450020150043587	-0.22555954739327902	-4703.230597278912	2	13
l0_live	5	-3	5	985	1433	0.0043273565712296635	-0.22568194724539845	-4717.515836287508	2	13
l0_live	5	-5	2	464	720	0.004018839680607416	-0.22598980082470585	-4709.480179166667	2	13
stop1.5	99	-5	99	3033	5089	0.0036182685189322206	-0.22638951075791128	-4710.314936058165	0	13
stop1.5	4	-5	99	815	1109	0.002861375244635062	-0.22714477671214092	-4792.762334174932	2	12
stop1.5	4	-8	99	815	1109	0.002861375244635062	-0.22714477671214092	-4792.762334174932	2	12
stop1.5	4	0	2	233	317	0.002752648739969832	-0.22725326945482113	-4818.055637223975	2	12
l0_live	99	-1	99	2757	4554	0.0025806558348517965	-0.22742489257361131	-4735.682435748792	0	13
stop1.5	99	-8	99	3101	5244	0.001995883900554055	-0.22800840724937388	-4744.351731521739	1	13
stop1.5	3	0	5	266	333	0.0015466501404913825	-0.22845667515731066	-4866.023037537538	2	10
stop1.5	4	-99	99	816	1110	0.001108210465429336	-0.2288941721870713	-4829.779178918919	2	12
stop1.5	99	-3	5	1975	3302	0.0009133656697564328	-0.22908859806497692	-4762.960367504543	1	13
stop1.5	99	-99	99	3135	5320	0.0005062125280350288	-0.22949487582799677	-4774.562597612782	1	13
l0_live	99	-3	99	2946	4970	-3.4561015412096495e-05	-0.23003448670826251	-4789.030223923542	0	13
stop1.5	4	-3	99	811	1100	-0.0009829084407397453	-0.23098079518759215	-4880.2522896363635	2	12
l0_live	4	0	99	739	993	-0.0011408574988122002	-0.23113840465518976	-4883.225145115811	1	12
stop1.5	5	0	2	323	466	-0.0012693393111351725	-0.2312666102316162	-4859.822601931331	1	13
stop1.5	99	-5	5	2062	3498	-0.001293860816260599	-0.23129107901412985	-4805.884985391654	1	13
l0_live	99	-1	5	1786	2937	-0.0012990771465533305	-0.23129628413068823	-4810.713962853251	1	13
stop1.5	3	-1	5	288	365	-0.0017049294219052705	-0.23170126382364822	-4933.385023287671	1	10
l0_live	5	-99	2	474	737	-0.002153809832894094	-0.23214917914175337	-4840.835256445047	2	13
stop1.5	5	-3	2	452	689	-0.0022974763001177585	-0.23229253672607247	-4851.4084905660375	2	13
stop1.5	4	-1	2	276	383	-0.002629967360085798	-0.2326243129302616	-4932.9557441253255	1	12
l0_live	5	-1	2	398	596	-0.0026311336203215007	-0.23262547668303782	-4880.496552013423	2	13
stop1.5	3	-3	5	302	384	-0.002813979035819495	-0.2328079289808925	-4957.495220052083	1	10
stop1.5	3	-5	5	302	384	-0.002813979035819495	-0.2328079289808925	-4957.495220052083	1	10
stop1.5	3	-8	5	302	384	-0.002813979035819495	-0.2328079289808925	-4957.495220052083	1	10
stop1.5	3	-99	5	302	384	-0.002813979035819495	-0.2328079289808925	-4957.495220052083	1	10
stop1.5	5	-1	2	398	592	-0.0033505907680957568	-0.23334338699794432	-4894.970951858108	2	13
l0_live	99	-5	99	3033	5172	-0.003411012519494496	-0.2334036788416484	-4856.562214675174	0	13
stop1.5	99	-8	5	2130	3653	-0.003416550200408617	-0.23340920461616052	-4850.690788228853	1	13
