tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~35	on	6	2024blackmon	False	False	8346	245	13	-0.1478	-0.1425	-0.0053	-0.0318	-0.0088	-0.4401	0.6677	0.5385	-4.0978	-6.9641	-1.6618	-12.3893	2.5809	97.6412	0.0740	0.6009	0.3908	0.0000	
False	5~35	on	6	2026now	False	False	8296	145	9	-0.1434	-0.1731	0.0297	-0.0025	0.0145	0.3255	0.7532	0.5556	-4.1983	-7.3211	-1.7286	-9.7899	1.8912	133.2521	0.0737	0.6087	0.3884	0.0000	
False	5~35	on	6	all4	False	False	34362	881	46	-0.1397	-0.1392	-0.0004	-0.0306	-0.0073	-0.5857	0.5610	0.4783	-4.0874	-6.9871	-1.6593		2.4236		0.0739	0.6102	0.3858		0.8101
False	5~15	off	none	2020covid	False	False	14085	247	12	-0.0443	-0.0277	-0.0166	-0.0766	-0.0269	-0.9735	0.3512	0.4167	-3.8506	-9.3458	-1.5480	-11.8199	6.7193	37.5040	0.0632	0.8247	0.0000	0.0000	
False	5~15	off	none	2022bear	False	True	9013	246	12	-0.2976	-0.1978	-0.0998	-0.1165	-0.0531	-1.6567	0.1258	0.4167	-4.2614	-11.7647	-1.5656	-19.3054	7.9685	31.6246	0.0524	0.7380	0.0000	0.0000	
False	5~15	off	none	2024blackmon	False	False	9951	245	13	-0.1825	-0.1374	-0.0451	-0.0526	-0.0305	-1.0965	0.2944	0.4615	-4.2408	-10.9745	-1.6667	-13.5494	7.2606	34.7080	0.0569	0.7756	0.0000	0.0000	
False	5~15	off	none	2026now	False	False	6213	145	9	-0.0832	-0.1462	0.0630	-0.0052	0.0235	0.4948	0.6340	0.7778	-3.9899	-9.5910	-1.7058	-10.3879	5.3844	46.8023	0.0580	0.8590	0.0000	0.0000	
False	5~15	off	none	all4	False	False	39262	883	46	-0.1437	-0.1249	-0.0188	-0.0662	-0.0249	-1.5252	0.1342	0.5000	-4.0492	-10.3227	-1.6103		6.9320		0.0580	0.7978	0.0000		0.3691
False	5~15	off	2.5	2020covid	False	False	14085	247	12	-0.1296	-0.1191	-0.0105	-0.0229	-0.0186	-2.4007	0.0352	0.2500	-2.9753	-4.2857	-1.5480	-9.3746	1.4929	168.7949	0.1134	0.3776	0.6224	0.0000	
False	5~15	off	2.5	2022bear	False	True	9013	246	12	-0.1477	-0.1145	-0.0332	-0.0421	-0.0344	-3.3088	0.0070	0.1667	-3.0332	-4.4164	-1.5656	-10.2042	1.6322	154.3930	0.1146	0.3545	0.6448	0.0000	
False	5~15	off	2.5	2024blackmon	False	False	9951	245	13	-0.1523	-0.1230	-0.0293	-0.0337	-0.0262	-2.3070	0.0397	0.2308	-3.0968	-4.5021	-1.6667	-11.3102	1.5063	167.2995	0.1154	0.3466	0.6502	0.0000	
False	5~15	off	2.5	2026now	False	False	6213	145	9	-0.1507	-0.1670	0.0163	0.0253	0.0288	0.7319	0.4851	0.5556	-3.2301	-5.0812	-1.7058	-7.8537	1.3116	192.1311	0.1154	0.3485	0.6502	0.0000	
False	5~15	off	2.5	all4	False	False	39262	883	46	-0.1428	-0.1267	-0.0161	-0.0215	-0.0156	-1.6877	0.0984	0.2826	-3.0550	-4.4843	-1.6103		1.4996		0.1145	0.3598	0.6390		0.3608
False	5~15	off	6	2020covid	False	False	14085	247	12	-0.1150	-0.1058	-0.0092	-0.0284	-0.0055	-0.3866	0.7064	0.4167	-3.8506	-6.7227	-1.5480	-9.1193	2.8097	89.6907	0.0742	0.6325	0.3641	0.0000	
False	5~15	off	6	2022bear	False	True	9013	246	12	-0.1743	-0.1498	-0.0245	-0.0363	-0.0105	-0.5083	0.6213	0.4167	-4.2614	-6.9984	-1.5656	-11.6414	3.1061	81.1315	0.0728	0.5864	0.4075	0.0000	
False	5~15	off	6	2024blackmon	False	False	9951	245	13	-0.1643	-0.1425	-0.0219	-0.0387	-0.0209	-1.1400	0.2765	0.3077	-4.2408	-6.9313	-1.6667	-12.4454	2.7272	92.4037	0.0733	0.5916	0.4019	0.0000	
False	5~15	off	6	2026now	False	False	6213	145	9	-0.1114	-0.1731	0.0616	0.0145	0.0199	0.4823	0.6425	0.6667	-3.9899	-7.1031	-1.7058	-7.9550	2.0301	124.1319	0.0748	0.6309	0.3676	0.0000	
False	5~15	off	6	all4	False	False	39262	883	46	-0.1405	-0.1392	-0.0013	-0.0250	-0.0062	-0.5439	0.5892	0.4348	-4.0492	-6.8966	-1.6103		2.7334		0.0737	0.6113	0.3842		0.8101
False	5~15	on	none	2020covid	False	False	7025	236	12	-0.0782	-0.0277	-0.0505	-0.1331	-0.0136	-0.2394	0.8152	0.3333	-3.7618	-9.0738	-1.5259	-14.6712	7.0353	35.8194	0.0615	0.8135	0.0000	0.0000	
