tp_close	band	res	stop	period	main	holdout	n	n_days	n_months	gate_r	base_r	excess_tw	excess_mw	excess_r	t	p	beat	mae_med	mae_p25	mae_p75	mdd_pct	hold_mean	turnover_yr	cost_share	tp_rate	stop_rate	trunc_rate	q_bh
False	5~35	off	6	2020covid	False	False	24327	248	12	-0.1439	-0.1058	-0.0381	-0.0630	-0.0537	-3.5237	0.0048	0.0833	-4.1860	-6.9485	-1.7324	-10.8895	2.3130	108.9482	0.0734	0.6118	0.3864	0.0000	
False	5~35	off	6	2022bear	False	True	14318	246	12	-0.1871	-0.1498	-0.0374	-0.0498	-0.0306	-1.3221	0.2130	0.4167	-4.4769	-7.1525	-1.7331	-12.4702	2.5538	98.6746	0.0724	0.5780	0.4181	0.0000	
False	5~35	off	6	2024blackmon	False	False	17196	245	13	-0.1657	-0.1425	-0.0232	-0.0319	-0.0182	-1.3198	0.2115	0.4615	-4.3619	-7.0840	-1.8303	-12.5982	2.2420	112.3980	0.0732	0.5912	0.4043	0.0000	
False	5~35	off	6	2026now	False	False	13125	145	9	-0.1699	-0.1731	0.0032	-0.0356	-0.0257	-1.2310	0.2533	0.3333	-4.4944	-7.5292	-1.8824	-9.9991	1.7429	144.5902	0.0728	0.5918	0.4065	0.0000	
False	5~35	off	6	all4	False	False	68966	884	46	-0.1633	-0.1392	-0.0240	-0.0454	-0.0322	-3.5399	0.0009	0.3261	-4.3478	-7.1146	-1.7810		2.2368		0.0730	0.5959	0.4013		0.0052
False	5~35	on	none	2020covid	False	False	13405	247	12	-0.0494	-0.0277	-0.0217	-0.0720	-0.0131	-0.3047	0.7663	0.3333	-4.0625	-9.6503	-1.6807	-9.4150	6.2672	40.2093	0.0622	0.8325	0.0000	0.0000	
False	5~35	on	none	2022bear	False	True	5319	246	12	-0.2822	-0.1978	-0.0844	-0.1136	-0.0275	-0.5446	0.5969	0.5000	-4.1667	-11.2082	-1.6134	-18.6271	7.2506	34.7557	0.0517	0.7676	0.0000	0.0000	
False	5~35	on	none	2024blackmon	False	False	8905	245	13	-0.1363	-0.1374	0.0012	-0.0055	0.0316	1.1486	0.2731	0.6154	-4.1339	-10.3214	-1.6949	-9.8112	6.6574	37.8527	0.0584	0.7978	0.0000	0.0000	
False	5~35	on	none	2026now	False	False	9140	144	9	-0.0705	-0.1462	0.0757	-0.0361	0.0495	0.8219	0.4349	0.6667	-4.2588	-10.1804	-1.7466	-11.2997	5.1596	48.8407	0.0581	0.8698	0.0000	0.0001	
False	5~35	on	none	all4	False	False	36769	882	46	-0.1094	-0.1249	0.0155	-0.0570	0.0080	0.3644	0.7173	0.5217	-4.1434	-10.1021	-1.6878		6.2286		0.0585	0.8240	0.0000		0.7890
